index,d__Bacteria,Unassigned,d__Archaea,d__Eukaryota,Insect Order
SRR6684226,9926,0,0,0,Hymenoptera
SRR6684227,16401,0,0,0,Hymenoptera
SRR6684229,14957,0,0,0,Hymenoptera
SRR6684230,18751,0,0,0,Hymenoptera
SRR6684231,14722,0,0,0,Hymenoptera
SRR6684232,8985,0,0,0,Hymenoptera
SRR6684233,6391,0,0,0,Hymenoptera
SRR6684234,3717,0,0,0,Hymenoptera
SRR6684235,16282,0,0,0,Hymenoptera
SRR6684236,17194,0,0,0,Hymenoptera
SRR6684237,29600,0,0,0,Hymenoptera
SRR6684238,7295,0,0,0,Hymenoptera
SRR6684239,20198,0,0,0,Hymenoptera
SRR6684240,8381,0,0,0,Hymenoptera
SRR6684241,15674,0,0,0,Hymenoptera
SRR6684242,13006,0,0,0,Hymenoptera
SRR6684243,10653,0,0,0,Hymenoptera
SRR6684244,17716,0,0,0,Hymenoptera
SRR6684245,12953,0,0,0,Hymenoptera
SRR6684246,16160,0,0,0,Hymenoptera
SRR6684247,24150,0,0,0,Hymenoptera
SRR6684248,4961,0,0,0,Hymenoptera
SRR12841874,26533,0,0,0,Hymenoptera
SRR12841877,12287,0,0,0,Hymenoptera
SRR12841878,7007,0,0,0,Hymenoptera
SRR12841879,35216,0,0,0,Hymenoptera
SRR12841880,9847,0,0,0,Hymenoptera
SRR12841882,14173,0,0,0,Hymenoptera
SRR12841883,13188,0,0,0,Hymenoptera
SRR12841884,20708,0,0,0,Hymenoptera
SRR12841885,2298,0,0,0,Hymenoptera
SRR12841886,12384,0,0,0,Hymenoptera
SRR12841887,6658,0,0,0,Hymenoptera
SRR12841888,11606,0,0,0,Hymenoptera
SRR12841889,19959,0,0,0,Hymenoptera
SRR12841890,18479,0,0,0,Hymenoptera
SRR12841892,41346,0,0,0,Hymenoptera
SRR12841893,10583,0,0,0,Hymenoptera
SRR12841894,49211,0,0,0,Hymenoptera
SRR12841895,19888,0,0,0,Hymenoptera
SRR12841896,17998,0,0,0,Hymenoptera
SRR12841897,26708,0,0,0,Hymenoptera
SRR12841898,17801,0,0,0,Hymenoptera
SRR12841899,28544,0,0,0,Hymenoptera
SRR12841900,11736,0,0,0,Hymenoptera
SRR12841901,2933,0,0,0,Hymenoptera
SRR12841902,31259,0,0,0,Hymenoptera
