RUN	shannon_entropy
SRR6458552	0.9422872233648568
SRR6458553	0.5029249112475598
SRR6458554	1.1120098093313764
SRR6458555	0.6284145443564311
SRR6458556	0.0124077577374611
SRR6458557	0.9086803015377132
SRR6458559	0.4989776024251359
SRR6458560	3.072255108126761
SRR6458561	3.57449218011418
SRR6458562	0.6440324456002374
SRR6458563	0.7097918425465853
SRR6458564	0.7408795641020604
SRR6458565	0.5832572370295491
SRR6458566	3.202327631605767
SRR6458567	3.63387219873454
SRR6458568	0.5000271841905826
SRR6458569	0.3525714548593443
SRR6464136	-0.0
SRR6464137	0.5652125021966224
SRR6464138	0.3079982607083683
SRR6464139	0.6835952638644189
SRR6464140	0.5037225623943639
SRR6464141	0.0415588652108362
SRR6464142	0.0114077577374611
SRR6464143	0.6465688697943662
SRR6464144	0.521299883438918
SRR6464145	2.9974879683907365
SRR6464146	0.0062040592958316
SRR6464147	0.020814071335501
SRR6464148	0.5491415362947327
SRR6464149	0.4342076194585137
SRR6464150	0.7533709633483661
SRR6464151	0.0270166861301531
SRR6464152	2.8714272824856133
SRR6464155	3.054597662620592
SRR6464156	0.5097565946403524
SRR6464157	3.072941433007023
SRR6464158	2.1601229842551706
SRR6464160	3.6696394155265946
SRR6464161	0.6114315049211796
SRR6464162	2.1043319203279283
SRR6464163	2.6350137980344805
SRR6464164	2.678228381651755
SRR6464165	2.7957711471356537
SRR6464166	2.771949979737511
SRR6464167	2.975784419593477
SRR6464168	0.3954770542417388
SRR6464169	1.368217757603006
SRR6464170	3.173510117416232
SRR6464171	0.8281594416460762
SRR6464172	0.8933913836267902
SRR6464173	0.7497024337532381
SRR6464174	0.0114077577374611
SRR6464175	-0.0
SRR6464176	0.5994244003247441
SRR6464177	0.0124077577374611
SRR6464178	0.0356659433028022
SRR6464179	0.0162336513931986
SRR6464180	0.022814071335501
SRR6464181	0.5896157605902116
SRR6464183	0.4299388004376831
SRR6464184	0.7236043380292626
SRR6464185	0.6235377505566421
SRR6464186	0.3156386648226268
SRR6464187	0.3639928835824455
SRR6464188	0.6871347397702636
SRR6464189	0.4731324938522294
SRR6464190	3.3197452049949288
SRR6464191	0.7893942703580874
SRR6464192	1.229327385429726
SRR6464193	0.9011043188322364
SRR6464194	1.1084397813385565
SRR6464195	0.0322189393470857
SRR6464196	-0.0
SRR6464197	0.0806409150289417
SRR6464198	1.1725749291068497
SRR6464199	1.4783293990968804
SRR6464200	0.6836466244031632
SRR6464201	0.6990306935408862
SRR6464202	-0.0
SRR6464203	0.3582920339264132
SRR6464204	0.68092491702616
SRR6464205	1.3759356524395692
SRR6464206	1.6048255589384046
SRR6464207	0.7755760955924865
SRR6464208	0.6143566311033485
SRR6464209	0.5293173444130667
SRR6464210	-0.0
SRR6464211	-0.0
SRR6464212	0.5848632837106027
SRR6464213	0.6061101988931556
SRR6464214	0.0438235277173266
SRR6464215	-0.0
SRR6464216	0.1057779098477716
SRR6464217	0.1098446965569735
SRR6464218	0.7150750513982721
SRR6464219	0.0314141191098673
SRR6464220	1.713505818643635
SRR6464221	0.6540941269232495
SRR6464223	3.07011905823312
SRR6464224	1.6864424341260382
SRR6464225	2.692992378040457
SRR6464227	2.1839055750752783
SRR6464228	1.4068234126397343
SRR6464230	1.7331501249218522
SRR6464231	2.185280339050744
SRR6473639	2.920262283262844
SRR6473640	3.9154726336249457
SRR6473641	3.1740009928926542
SRR6473642	3.955794703525576
SRR6473643	3.998164914404583
SRR6473644	3.747409314517713
SRR6473646	2.2524956337030773
SRR6473647	2.528922771812624
SRR6473648	3.1870882831774217
SRR6473649	3.01473633975351
SRR6473650	1.483748638176678
SRR6473651	3.595577926504512
SRR6473652	4.399153241646006
SRR6473653	3.744861075505976
SRR6473654	3.96370342225556
SRR6473655	4.250936528485098
SRR6473656	4.048248056145614
SRR6473657	1.9033572274592216
SRR6473658	4.555693528446699
SRR6473659	4.152970086346488
SRR6473660	2.422165350632244
SRR6473661	2.390997264964004
SRR6473662	3.380098580145861
SRR6473663	3.685535079413023
SRR6473664	3.3026961922446785
SRR6473665	3.9440483525534815
SRR6473666	2.957876407124177
SRR6473667	3.731048457793584
SRR6473668	3.833225723769253
SRR6473669	3.500823231366917
SRR6473670	3.6118120222803496
SRR6473671	4.144448560683449
SRR6473672	3.4384070691229938
SRR6473673	4.340190673239945
SRR6473674	1.8942719905360847
SRR6473675	3.831432247839421
SRR6473676	3.465631143814793
SRR6473677	3.717090756612552
SRR6473678	3.52953437851268
SRR6473679	3.6643497505495977
SRR6473680	2.0763419803493486
SRR6473681	3.2681911491766438
SRR6473682	3.901168739137858
SRR6473683	2.863781050758241
SRR6473684	0.5166792182489386
SRR6473685	2.862495730020993
SRR6473686	3.2755956897355785
SRR6473687	3.1139759030292136
SRR6473688	2.763783905605863
SRR6473689	3.897573787074718
SRR6473690	3.7934730449656513
SRR6473691	2.897523702095194
SRR6473692	4.29465918608777
SRR6473693	3.8033530560063
SRR6473694	3.8605804645911337
SRR6473695	3.854308171059632
SRR6473696	4.23742337815998
SRR6473697	3.879385193707592
SRR6473698	3.74056536139582
SRR6473699	4.300369423010706
SRR6473700	3.9848296379290304
SRR6473701	3.2100134295850795
SRR6473702	3.580535800037413
SRR6473703	4.371426298061899
SRR6473704	3.967380222554573
SRR6473705	1.915713572634696
SRR6473706	2.879918254044568
SRR6473707	1.2093147807231166
SRR6473708	3.662565741996447
SRR6473709	4.454607021090175
SRR6473710	3.4895323775152947
SRR6473711	3.0571985950313123
SRR6473712	2.859928682257643
SRR6473713	1.9376976136394648
SRR6473714	3.0463987381171527
SRR6473715	2.895108460655797
SRR6473716	3.2051978160264176
SRR6473717	1.9161015349414283
SRR6473718	1.8784135777764992
SRR6473719	3.515996806953084
SRR6473720	3.2597749375013705
SRR6473721	0.182382751520112
SRR6473722	0.0808441010072251
SRR6473723	0.9986743426117156
SRR6473724	3.7488437785713473
SRR6473725	3.108372084152917
SRR6473726	3.0466000133876885
SRR6473727	2.8730150106788472
SRR6473728	2.7422014892319644
SRR6473729	4.355462587472073
SRR6473730	2.742074063120629
