RUN	pielou_evenness
SRR13839684	0.7258487060811648
SRR13839685	0.7560117938616666
SRR13839686	0.8870804637203348
SRR13839687	0.7382424577077772
SRR13839688	0.6186370480532682
SRR13839689	0.9999538332662392
SRR13839690	0.7717619621219035
SRR13839691	0.7740617715539237
SRR13839692	0.7395363003766783
SRR13839693	0.6557025904258107
SRR13839694	0.6534299256431417
SRR13839695	0.7016212063961914
SRR13839696	0.6531333944025257
SRR13839697	0.55222559425739
SRR13839698	0.8429031580058872
SRR13839699	0.6893507508483908
SRR13839700	0.9800302358597728
SRR13839701	0.1331892910691427
SRR13839702	0.8690220700915235
SRR13839703	0.8590488048692905
SRR13839704	0.6461380758647464
SRR13839705	0.6038077058668831
SRR13839706	0.4947161485805701
SRR13839707	0.8901780845393639
SRR13839708	0.5263361609609669
SRR13839709	0.6844113822777026
SRR13839710	0.9752715747434396
SRR13839711	0.7701560945924142
SRR13839713	0.6352390399112332
SRR13839714	0.3010826454060687
SRR13839715	0.8003503203667871
SRR13839716	0.033595088577764
SRR13839717	0.8136295817357189
SRR13839718	0.8543466712784593
SRR13839719	0.9124191977777644
SRR13839720	0.841139745896498
SRR13839721	0.8719362095770004
SRR13839722	0.8306277922796682
SRR13839723	0.7644171948091486
SRR13839724	0.9526101220313072
SRR13839725	
SRR13839727	0.756962681557874
SRR13839728	0.6805215312118337
SRR13839729	0.757758110249216
SRR13839730	0.6170521354514319
SRR13839731	0.7279853669429079
SRR13839732	0.819171339420238
SRR13839733	0.4352831406294053
SRR13839734	0.7922439668626594
SRR13839735	0.646954048290532
SRR13839736	0.4021791902022729
SRR13839737	0.2952237827440307
SRR13839738	0.4551355528057575
SRR13839739	0.7867924493619296
SRR13839740	0.852624228400205
SRR13839741	0.8931734583778568
SRR13839742	0.7046282462924892
SRR13839744	0.6894707035583589
SRR13839745	0.5160375416417543
SRR13839746	0.9973141987833573
SRR13839747	0.6144403720706049
SRR6684160	0.6742938545814913
SRR6684161	0.761092499649583
SRR6684162	0.8589567618799745
SRR6684163	0.8473463425230475
SRR6684164	0.7165864511737794
SRR6684165	0.6381672406113693
SRR6684166	0.6323219324104724
SRR6684167	0.7532146436450543
SRR6684168	0.7627164429360982
SRR6684169	0.789880700352833
SRR6684170	0.7241105808761837
SRR6684171	0.6653982193473359
SRR6684172	0.7525981667463869
SRR6684173	0.7330182279674352
SRR6684174	0.7205225991499113
SRR6684175	0.7556252836725358
SRR6684176	0.69819004422624
SRR6684177	0.8224369272445884
SRR6684178	0.7827115237877172
SRR6684179	0.8176608220294135
SRR6684180	0.8684981817149849
SRR6684181	0.8586394028077258
SRR6684182	0.8308388955978023
SRR6684183	0.6905086802032097
SRR6684184	0.7703827162789861
SRR6684185	0.8149932812338412
