RUN	pielou_evenness	shannon_entropy
SRR9698263	0.3651019027886028	0.8477403655816913
SRR9698265	0.7356896051576827	1.4713792103153651
SRR9698268	0.6724569667246502	1.738276042331915
SRR9698270	0.5044469988121532	1.1712896589235504
SRR9698272	0.4439532597031825	1.030827546521645
SRR9698273	0.276633736952041	0.7150878364553865
SRR9698274	0.5431469212877349	1.0862938425754698
SRR9698275	0.3916337370369082	0.9093453769317263
SRR9698278	0.6632749645875925	1.7145409111260794
SRR13839625	0.5981383323259875	0.948026826980579
SRR13839626	0.99971144175281	0.99971144175281
SRR13839627	0.6167832048517323	1.9551565015292216
SRR13839628	0.6910087381253046	1.786231675724558
SRR13839629	0.8518250083850655	1.9778764188969464
SRR13839630	0.7462059612621192	1.7326365860269457
SRR13839631	0.784887592414385	2.028904993672496
SRR13839632	0.831184933641498	1.9299516494692823
SRR13839633	0.7758432649878809	1.5516865299757618
SRR13839634	0.7965635280374418	1.849563235112733
SRR13839635	0.6097555726817014	1.829266718045104
SRR13839636	0.7920990622689849	2.047546372821718
SRR13839637	0.8336374938127602	1.9356463178353376
SRR13839638	0.7560950159782172	1.954477263285855
SRR13839639	0.4966033750262231	1.649680703515496
SRR13839640	0.6652954348687755	1.330590869737551
SRR13839641	0.6237669075876114	1.977294315434326
SRR13839642	0.7834829890265141	2.1995148255919883
SRR13839643	0.8077286180345996	1.6154572360691992
SRR13839644	0.6523484733815537	1.0339478677124558
SRR13839645	0.1143907623002375	0.3211354695814933
SRR13839646	0.8590380758876641	2.2205812128612665
SRR13839647	0.5612872842552459	1.1225745685104918
SRR13839648	0.7396063395530595	1.9118546530402976
SRR13839649	0.9100377400203872	2.113042195961138
SRR13839650	0.8686546739168773	2.016953692122818
SRR13839651	0.763839926819277	1.974497567381424
SRR13839652	0.5398112456851714	1.253402897292544
SRR13839653	0.7071766607708514	1.828025149477857
SRR13839654	0.5445467258623629	1.2643983417587468
SRR13839655	0.4906473679193177	0.9812947358386354
SRR13839656	0.5217142239005643	1.3486117048758
SRR13839657	0.6787485956470048	1.7545396671646547
SRR13839658	0.9576881222610312	0.9576881222610312
SRR13839659	0.6024890094511308	1.3989361579054382
SRR13839660	0.9165125097919148	1.4526379594620165
SRR13839661	0.9013902001627586	1.4286696657755096
SRR13839662	0.645348741272998	1.290697482545996
SRR13839663	0.6996969660195921	1.624646043308339
SRR13839664	0.6831208265012715	1.5861574392559776
SRR13839665	0.6815358259673572	1.5824771819858705
SRR13839668	0.7302907076488934	1.8877740938975065
SRR13839669	0.5876683966834468	0.9314323716021884
SRR13839670	0.6044302046400674	1.40344347355229
SRR13839671	0.7379218360889738	1.4758436721779475
SRR13839672	0.950082144536046	1.900164289072092
SRR13839673	0.6875868930904162	1.3751737861808324
SRR13839675	0.879516519131174	1.3940007015877125
SRR13839676	0.9523163926043064	1.509385771099872
SRR13839677	0.6050347132945894	1.4048470991808273
SRR13839678	0.7229813425059199	1.8688796590988417
SRR13839679	0.6680292412955305	1.336058482591061
SRR13839680	0.7401001096955645	1.480200219391129
SRR13839681	0.7575455832686026	2.1266993218721097
SRR13839682	0.8314537842057337	2.494361352617201
SRR13839683	0.7450981358290846	2.0917549190357256
SRR13839684	0.7258487060811648	2.1775461182434945
SRR13839685	0.7560117938616666	2.1223934306311487
SRR13839686	0.8870804637203348	2.2930697338393995
SRR13839687	0.7382424577077772	1.7141459033903832
SRR13839688	0.6186370480532682	1.736733761819529
SRR13839689	0.9999538332662392	0.9999538332662392
SRR13839690	0.7717619621219035	2.16660974301976
SRR13839691	0.7740617715539237	2.00092065270868
SRR13839692	0.7395363003766783	1.9116736043957705
